blue,green,red,ndwi,brightness,label,source_file
0.20238954,0.12418479,0.11165658,0.053121123,0.14607696,0,GSL_2006_08.tif
0.077154025,0.052393463,0.013444799,0.591572,0.047664095,0,GSL_2006_08.tif
0.15063584,0.09314686,0.06265152,0.19573466,0.10214474,0,GSL_2006_08.tif
0.13731067,0.06958899,0.054131094,0.12494148,0.08701024,0,GSL_2006_08.tif
0.15882783,0.08936384,0.06693694,0.14348464,0.105042875,0,GSL_2006_08.tif
0.12046962,0.06748254,0.060886934,0.051379446,0.08294637,0,GSL_2006_08.tif
0.2112144,0.14404562,0.10727032,0.14633034,0.15417679,0,GSL_2006_08.tif
0.28522357,0.17964037,0.17553456,0.011559922,0.21346617,0,GSL_2006_08.tif
0.23117803,0.09387833,0.11510378,-0.1015654,0.14672005,0,GSL_1996_07.tif
0.20864496,0.09109488,0.085700706,0.030510632,0.12848018,0,GSL_1996_07.tif
0.2248297,0.09109488,0.08532969,0.03267776,0.13375142,0,GSL_1996_07.tif
0.21938828,0.09592498,0.074199185,0.12770477,0.12983748,0,GSL_1996_07.tif
0.21889995,0.09592498,0.07633253,0.11373864,0.13038582,0,GSL_1996_07.tif
0.22420184,0.092486605,0.09210075,0.0020903707,0.13626307,0,GSL_1996_07.tif
0.19033246,0.090235285,0.0933993,-0.017229863,0.12465569,0,GSL_1996_07.tif
0.15782343,0.0766455,0.08120213,-0.028867062,0.105223686,0,GSL_1996_07.tif
0.18101925,0.086510375,0.087973185,-0.008383606,0.11850094,0,GSL_1996_07.tif
0.1756127,0.07783256,0.081062995,-0.020330446,0.111502744,0,GSL_1996_07.tif
0.18890235,0.10795931,0.1087965,-0.003862356,0.13521938,0,GSL_1996_07.tif
0.2071102,0.108041175,0.095439896,0.0619282,0.13686375,0,GSL_1996_07.tif
0.14599879,0.06829515,0.079347044,-0.07485542,0.097880326,0,GSL_1996_07.tif
0.18761174,0.10660852,0.11399073,-0.033464216,0.13607033,0,GSL_1996_07.tif
0.1364763,0.061786793,0.07916153,-0.1232694,0.09247488,0,GSL_1996_07.tif
0.16009068,0.09207727,0.07327165,0.11373228,0.108479865,0,GSL_1996_07.tif
0.20581959,0.114017405,0.11097622,0.013516704,0.1436044,0,GSL_1996_07.tif
0.17997283,0.10202401,0.11032694,-0.03909984,0.1307746,0,GSL_1996_07.tif
0.18042627,0.09527005,0.11459363,-0.092076376,0.13009666,0,GSL_1996_07.tif
0.1289769,0.06162306,0.08073836,-0.13427208,0.09044611,0,GSL_1996_07.tif
0.14948688,0.08970316,0.08806594,0.009209762,0.10908532,0,GSL_1996_07.tif
0.18429805,0.10722251,0.10425154,0.014048802,0.13192403,0,GSL_1996_07.tif
0.1448826,0.07865122,0.08811232,-0.05673327,0.10388205,0,GSL_1996_07.tif
0.14202237,0.073657386,0.08532969,-0.07341622,0.100336485,0,GSL_1996_07.tif
0.15402141,0.10550332,0.10248921,0.014491365,0.12067131,0,GSL_1996_07.tif
0.06210734,0.11334075,0.06679868,0.2583655,0.08074892,1,GSL_1989_03.tif
0.057842687,0.1124756,0.06346068,0.27859312,0.07792632,1,GSL_1989_03.tif
0.060005914,0.1124756,0.060966346,0.29698095,0.07781596,1,GSL_1989_03.tif
0.054010678,0.085323095,0.0387191,0.3757078,0.059350956,1,GSL_1989_03.tif
0.090538375,0.08938266,0.055537503,0.23354186,0.07848618,1,GSL_1989_03.tif
0.053825255,0.0863879,0.040424783,0.36244607,0.060212646,1,GSL_1989_03.tif
0.053825255,0.08375917,0.040424783,0.34895036,0.059336405,1,GSL_1989_03.tif
0.041154906,0.051049724,0.01588495,0.52535176,0.03602986,1,GSL_1989_03.tif
0.05067312,0.079599775,0.038352285,0.3496941,0.05620839,1,GSL_1989_03.tif
0.059789594,0.08608843,0.041855354,0.34572002,0.06257779,1,GSL_1989_03.tif
0.06284902,0.085655846,0.02850334,0.5006343,0.05900274,1,GSL_1989_03.tif
0.056544747,0.06376082,0.025972325,0.4211161,0.048759297,1,GSL_1989_03.tif
0.05635933,0.10089585,0.04820123,0.35342252,0.06848547,1,GSL_1989_03.tif
0.052620027,0.080098905,0.040975004,0.32313797,0.05789798,1,GSL_1989_03.tif
0.06278721,0.0929431,0.047045767,0.32786185,0.067592025,1,GSL_1989_03.tif
0.065012254,0.086986855,0.030814266,0.4768385,0.060937792,1,GSL_1989_03.tif
0.05852256,0.07880117,0.029713824,0.45235124,0.055679183,1,GSL_1989_03.tif
0.061489273,0.10588712,0.04603703,0.39394462,0.07113781,1,GSL_1989_03.tif
0.057101008,0.0736768,0.027219491,0.46044165,0.052665766,1,GSL_1989_03.tif
0.053516224,0.060233656,0.02556883,0.40400252,0.04643957,1,GSL_1989_03.tif
0.06575393,0.08439139,0.031107716,0.46133012,0.060417682,1,GSL_1989_03.tif
0.06155108,0.10275926,0.035619523,0.48518452,0.06664329,1,GSL_1989_03.tif
0.061427467,0.08885026,0.02820989,0.5180231,0.05949587,1,GSL_1989_03.tif
0.05920243,0.06143156,0.025532149,0.41280437,0.048722047,1,GSL_1989_03.tif
0.05283635,0.06575733,0.028283251,0.3984841,0.048958976,1,GSL_1989_03.tif
0.009086937,0.028896127,0.089702085,-0.5127012,0.042561714,1,GSL_1993_07.tif
0.011201116,0.031915005,0.08793861,-0.46742967,0.04368491,1,GSL_1993_07.tif
0.00783409,0.027112244,0.08482659,-0.51558363,0.03992431,1,GSL_1993_07.tif
